mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.004687150319417317,0.004525029000601958,0.0006664594014485677,0.000471258122977251,0.001,{'alpha': 0.001},-5174.046909387186,-5216.277567971394,-5496.400885587288,-5295.575120981956,143.04800576053978,4
0.0010000069936116536,0.0008167294985332552,0.000333865483601888,0.00047215709491804224,0.01,{'alpha': 0.01},-5174.011110754597,-5216.255792185986,-5496.385245206626,-5295.55071604907,143.05484811489336,3
0.0009775956471761067,5.3671311946524704e-05,0.0006554921468098959,0.000463502982903385,0.1,{'alpha': 0.1},-5173.666311745311,-5216.0468561880625,-5496.228930314766,-5295.314032749379,143.1179576074652,2
0.0010098616282145183,5.062614539029753e-06,0.0006581942240397135,0.00046551133782692143,1.0,{'alpha': 1.0},-5171.044819328963,-5214.506523919264,-5494.674332059248,-5293.4085584358245,143.41818495957855,1
