mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.956429163614909,0.12076481943200137,0.10285345713297527,0.0041114140077089705,400,5,1,sqrt,30,True,"{'n_estimators': 400, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': True}",-4675.101260798363,-4663.779352506421,-4999.554782005706,-4779.478465103497,155.68608447294218,26
7.173095305760701,0.408631574106705,0.45903944969177246,0.06856449713060805,2000,5,1,sqrt,10,True,"{'n_estimators': 2000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-4744.235741899153,-4679.00578639001,-5040.2126785611135,-4821.151402283426,157.17213249012121,52
3.4155994256337485,0.05080535880069125,0.2205185890197754,0.010326500099285688,1200,5,2,sqrt,10,False,"{'n_estimators': 1200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-4742.2880994454645,-4691.87865916572,-5024.780287467603,-4819.649015359595,146.5023481377601,50
20.309604088465374,0.9263132336721397,0.5017451445261637,0.050076346985955617,2000,2,4,auto,30,False,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 30, 'bootstrap': False}",-5445.688860727941,-5223.09001623756,-5789.249730985053,-5486.009535983518,232.88555600056722,85
4.825450579325358,0.2426951285598216,0.3042106628417969,0.02206384532589015,1600,2,4,sqrt,10,True,"{'n_estimators': 1600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-4835.965644429651,-4762.814313801334,-5196.642985516607,-4931.8076479158635,189.63314816551818,77
2.781766335169474,0.2027462862761065,0.2021326224009196,0.033309271326555576,800,5,4,sqrt,30,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-4737.986000430516,-4713.944303395642,-5062.456177642691,-4838.128827156283,158.9267565710023,57
4.222869873046875,0.4227165627637916,0.24070040384928384,0.01435360300349838,1000,5,2,sqrt,100,False,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 100, 'bootstrap': False}",-4675.962724857877,-4683.564458948681,-4947.312316343577,-4768.946500050045,126.16185347095542,19
2.785748561223348,0.12166540233680104,0.21479550997416177,0.04963044245424793,600,5,1,sqrt,60,False,"{'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-4682.127009445459,-4719.095624183859,-4982.991752615276,-4794.7381287481985,133.96825443174814,34
15.679851770401001,0.7090538341926721,0.33286341031392414,0.014148939079806522,1000,2,1,auto,50,False,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 50, 'bootstrap': False}",-6207.2909567337,-5923.206646252285,-6283.075262644728,-6137.857621876905,154.90232676981702,100
15.69394564628601,0.48266625720002065,0.3636190891265869,0.012876431027819867,1800,5,4,auto,10,False,"{'n_estimators': 1800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 10, 'bootstrap': False}",-5425.881865067615,-5143.23897276023,-5638.601567402978,-5402.574135076941,202.90139271870845,79
3.09876815478007,0.22133144968316237,0.09288557370503743,0.016194139205708686,400,10,4,auto,70,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': True}",-4657.077309978697,-4662.348972146619,-4907.856167564744,-4742.427483230021,116.99554067297193,8
3.9046313762664795,0.3668360285346841,0.22262493769327799,0.014915344741469648,800,5,1,sqrt,90,False,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 90, 'bootstrap': False}",-4678.482350619179,-4705.377985886054,-4965.293214394533,-4783.051183633255,129.331517507265,27
5.937795639038086,0.37712193963175994,0.5088213284810384,0.10187048375885333,2000,10,1,sqrt,10,False,"{'n_estimators': 2000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-4755.727837989168,-4676.143386915113,-5038.9194542406285,-4823.596893048303,155.68402879337935,53
5.181006828943889,0.42713201491786607,0.35631950696309406,0.019312246934127777,1600,5,2,sqrt,10,False,"{'n_estimators': 1600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",-4741.696980402239,-4691.259081452379,-5029.546019397709,-4820.834027084109,149.01122377023182,51
3.504492203394572,0.24955720931762151,0.2508874734242757,0.05015872772584285,800,10,2,sqrt,30,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-4701.289538629015,-4673.426210722075,-4989.877911764412,-4788.1978870385,143.06226043369034,29
